No	Strain	Sample	Exp_Date	Time_Point	Time_hr	Treatment	Rep	OD600	OD480	OD600_corr	Dox_conc	OD600_corr_avg	OD600_corr_sd	OD600_corr_se	Dox_conc_avg_orig	Dox_conc_sd	Dox_conc_se	Dox_conc_avg_orig_paste	Dox_conc_avg
1	E. coli	Ct-R1	1/25/19	0	0	Ctrl	1			0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2	E. coli	Ct-R2	1/25/19	0	0	Ctrl	2			0	0.00								
3	E. coli	Ct-R3	1/25/19	0	0	Ctrl	3			0	0.00								
4	E. coli	DL-R1	1/25/19	0	0	Dox_10µM	1			0	10.00	0.00	0.00	0.00	10.00	0.00	0.00	10.00	10.00
5	E. coli	DL-R2	1/25/19	0	0	Dox_10µM	2			0	10.00								
6	E. coli	DL-R3	1/25/19	0	0	Dox_10µM	3			0	10.00								
7	E. coli	DM-R1	1/25/19	0	0	Dox_100µM	1			0	100.00	0.00	0.00	0.00	100.00	0.00	0.00	100.00	100.00
8	E. coli	DM-R2	1/25/19	0	0	Dox_100µM	2			0	100.00								
9	E. coli	DM-R3	1/25/19	0	0	Dox_100µM	3			0	100.00								
10	E. coli	DH-R1	1/25/19	0	0	Dox_250µM	1			0	250.00	0.00	0.00	0.00	250.00	0.00	0.00	250.00	250.00
11	E. coli	DH-R2	1/25/19	0	0	Dox_250µM	2			0	250.00								
12	E. coli	DH-R3	1/25/19	0	0	Dox_250µM	3			0	250.00								
13	E. coli	Ct-R1	1/25/19	3	3	Ctrl	1	282	91	229	-1.31	249.33	17.62	10.17	-1.62	0.27	0.15	-1.62	0.00
14	E. coli	Ct-R2	1/25/19	3	3	Ctrl	2	312	90	259	-1.77								
15	E. coli	Ct-R3	1/25/19	3	3	Ctrl	3	313	90	260	-1.77								
16	E. coli	DL-R1	1/25/19	3	3	Dox_10µM	1	314	110	260	7.47	260.67	19.01	10.97	9.93	2.54	1.47	9.93	11.55
17	E. coli	DL-R2	1/25/19	3	3	Dox_10µM	2	296	115	242	9.78								
18	E. coli	DL-R3	1/25/19	3	3	Dox_10µM	3	334	121	280	12.55								
19	E. coli	DM-R1	1/25/19	3	3	Dox_100µM	1	313	460	255	169.14	262.67	7.09	4.10	134.49	30.15	17.41	134.49	136.11
