No	Date	Strain	Trt	Trt_char	Time	Time_Char	Rep	OD600	OD600_corr	OD480	Dox_conc	OD600_avg	OD600_sd	OD600_se	Dox_avg	Dox_sd	Dox_se	Dox_avg_corr
1	7/28/20	EC	0	Contol	12	A	2	956	913	82	6.022	826.00	87.50	50.52	5.69	0.892796709	0.51545642	0.00
2	7/28/20	EC	10	Low	12	A	2	948	904	98	11.9148	828.00	81.46	47.03	12.72	1.397765002	0.807	7.03
3	7/28/20	EC	100	Medium	12	A	2	921	868	223	86.1523	771.33	88.27	50.97	115.70	27.1487491	15.6743376	110.01
4	7/28/20	EC	250	High	12	A	2	917	821	280	136.603	820.33	14.01	8.09	217.69	71.44205111	41.24708744	212.00
5	7/29/20	EC	0	Contol	12	A	3	870	827	78	4.6768							
6	7/29/20	EC	10	Low	12	A	3	882	838	98	11.9148							
7	7/29/20	EC	100	Medium	12	A	3	804	751	264	121.3918							
8	7/29/20	EC	250	High	12	A	3	902	806	396	271.3834							
9	7/30/20	EC	0	Contol	12	A	4	781	738	83	6.3663							
10	7/30/20	EC	10	Low	12	A	4	786	742	104	14.3358							
11	7/30/20	EC	100	Medium	12	A	4	748	695	283	139.5463							
12	7/30/20	EC	250	High	12	A	4	930	834	376	245.0734							
13	7/26/20	EC	0	Contol	24	B	1	830	786	91	9.2359	711.50	64.63	32.31	8.64	2.483265391	1.241632696	0.00
14	7/26/20	EC	10	Low	24	B	1	830	784	111	17.3059	740.00	45.93	22.97	13.18	3.145946506	1.572973253	4.54
15	7/26/20	EC	100	Medium	24	B	1	791	736	236	96.7434	696.00	100.76	50.38	92.27	6.211062214	3.105531107	83.62
16	7/26/20	EC	250	High	24	B	1	903	791	258	115.8988	766.50	25.16	12.58	126.42	9.824199328	4.912099664	117.78
17	7/28/20	EC	0	Contol	24	B	2	712	668	98	11.9148							
18	7/28/20	EC	10	Low	24	B	2	803	757	103	13.9243							
19	7/28/20	EC	100	Medium	24	B	2	857	802	225	87.7465							
20	7/28/20	EC	250	High	24	B	2	897	785	263	120.4683							
21	7/29/20	EC	0	Contol	24	B	3	692	648	84	6.7138							
22	7/29/20	EC	10	Low	24	B	3	789	743	96	11.1334							
23	7/29/20	EC	100	Medium	24	B	3	619	564	223	86.1523							
24	7/29/20	EC	250	High	24	B	3	861	749	276	132.7234							
25	7/30/20	EC	0	Contol	24	B	4	788	744	84	6.7138							
26	7/30/20	EC	10	Low	24	B	4	722	676	94	10.3648							
27	7/30/20	EC	100	Medium	24	B	4	737	682	238	98.4208							
28	7/30/20	EC	250	High	24	B	4	853	741	280	136.603							
29	7/28/20	EF	0	Contol	12	A	2	193	150	74	3.3828	181.33	27.15	15.68	1.66	1.496226134	0.863846561	0.00
30	7/28/20	EF	10	Low	12	A	2	50	6	99	12.3103	69.67	99.23	57.29	10.14	1.960109554	1.131669779	8.48
31	7/28/20	EF	100	Medium	12	A	2	56	3	263	120.4683	6.00	2.65	1.53	135.94	16.71122017	9.648227464	134.28
32	7/28/20	EF	250	High	12	A	2	80	0	328	187.1518	8.00	9.17	5.29	234.16	43.89674638	25.34379834	232.49
33	7/29/20	EF	0	Contol	12	A	3	239	196	65	0.6585							
34	7/29/20	EF	10	Low	12	A	3	63	19	89	8.4993							
35	7/29/20	EF	100	Medium	12	A	3	60	7	277	133.6885							
36	7/29/20	EF	250	High	12	A	3	102	6	373	241.2373							
37	7/30/20	EF	0	Contol	12	A	4	241	198	66	0.9484							
38	7/30/20	EF	10	Low	12	A	4	228	184	92	9.609							
39	7/30/20	EF	100	Medium	12	A	4	61	8	297	153.6625							
40	7/30/20	EF	250	High	12	A	4	114	18	398	274.0848							
41	7/26/20	EF	0	Contol	24	B	1	204	160	66	0.9484	181.25	16.94	8.47	1.26	1.035703645	0.517851822	0.00
42	7/26/20	EF	10	Low	24	B	1	243	197	97	11.5225	176.25	25.86	12.93	10.87	1.848070492	0.924035246	9.62
43	7/26/20	EF	100	Medium	24	B	1	162	107	288	144.5158	32.75	49.83	24.91	123.85	31.20908959	15.6045448	122.59
44	7/26/20	EF	250	High	24	B	1	226	114	458	361.0788	31.50	55.10	27.55	237.09	106.3736116	53.18680582	235.83
45	7/28/20	EF	0	Contol	24	B	2	223	179	72	2.755							
46	7/28/20	EF	10	Low	24	B	2	211	165	101	13.1109							
47	7/28/20	EF	100	Medium	24	B	2	52	0	212	77.613							
48	7/28/20	EF	250	High	24	B	2	80	0	248	106.9998							
49	7/29/20	EF	0	Contol	24	B	3	245	201	64	0.3718							
50	7/29/20	EF	10	Low	24	B	3	244	198	93	9.9853							
51	7/29/20	EF	100	Medium	24	B	3	68	13	284	140.5338							
52	7/29/20	EF	250	High	24	B	3	116	4	394	268.6948							
53	7/30/20	EF	0	Contol	24	B	4	229	185	66	0.9484							
54	7/30/20	EF	10	Low	24	B	4	191	145	90	8.866							
55	7/30/20	EF	100	Medium	24	B	4	66	11	276	132.7234							
56	7/30/20	EF	250	High	24	B	4	120	8	349	211.5853							
57	7/28/20	KP	0	Contol	12	A	2	1088	1045	77	4.3485	802.00	211.09	121.87	4.13	0.373545624	0.215666667	0.00
58	7/28/20	KP	10	Low	12	A	2	1090	1046	93	9.9853	800.33	213.12	123.05	11.02	1.475230806	0.851724903	6.89
59	7/28/20	KP	100	Medium	12	A	2	939	886	203	70.9143	757.33	145.14	83.80	112.49	36.54532987	21.09945604	108.35
60	7/28/20	KP	250	High	12	A	2	862	766	261	118.6309	760.00	45.30	26.15	209.83	108.1560202	62.44390736	205.70
61	7/29/20	KP	0	Contol	12	A	3	707	664	75	3.7015							
62	7/29/20	KP	10	Low	12	A	3	734	690	94	10.3648							
63	7/29/20	KP	100	Medium	12	A	3	839	786	270	127							
64	7/29/20	KP	250	High	12	A	3	898	802	323	181.5423							
65	7/30/20	KP	0	Contol	12	A	4	740	697	77	4.3485							
66	7/30/20	KP	10	Low	12	A	4	709	665	100	12.709							
67	7/30/20	KP	100	Medium	12	A	4	653	600	283	139.5463							
68	7/30/20	KP	250	High	12	A	4	808	712	437	329.3205							
