No	Date	Strain	Group	Dox_conc	PABN	OD600	OD480	OD600_corr	Dox	OD600_avg	OD600_se	Dox_avg	Dox_se
1	7/31/20	EC	Control	0	0	515	96	462	1.00	486.64	24.41	0.18	0.72
2	7/31/20	EC	Control	0	0	507	97	454	1.46				
3	7/31/20	EC	Control	0	0	538	90	485	-1.77				
4	8/1/20	EC	Control	0	0	631	97	578	1.46				
5	8/1/20	EC	Control	0	0	650	100	597	2.85				
6	8/1/20	EC	Control	0	0	654	100	601	2.85				
7	12/6/18	EC	Control	0	0	593		540					
8	12/10/18	EC	Control	0	0	507		454					
9	1/25/19	EC	Control	0	0	431	89	378	-2.23				
10	1/25/19	EC	Control	0	0	445	90	392	-1.77				
11	1/25/19	EC	Control	0	0	465	89	412	-2.23				
12	7/31/20	EC	PABN	0	25	535	69	482	-11.47	474.00	5.58	-7.16	2.16
13	7/31/20	EC	PABN	0	25	525	83	472	-5.00				
14	7/31/20	EC	PABN	0	25	536	83	483	-5.00				
15	12/10/18	EC	PABN	0	25	512		459					
16	7/31/20	EC	Dox	250	0	363	157	297	29.18	375.00	64.17	33.20	11.60
17	7/31/20	EC	Dox	250	0	356	165	290	32.87				
18	7/31/20	EC	Dox	250	0	463	244	397	69.36				
19	8/1/20	EC	Dox	250	0	732	267	666	79.99				
20	12/6/18	EC	Dox	250	0	96		30					
21	1/25/19	EC	Dox	250	0	500	124	434	13.93				
22	1/25/19	EC	Dox	250	0	495	105	429	5.16				
23	1/25/19	EC	Dox	250	0	523	98	457	1.92				
24	7/31/20	EC	Dox+PABN	250	25	535	209	469	53.20	192.29	79.37	136.61	21.38
25	7/31/20	EC	Dox+PABN	250	25	149	438	83	158.98				
26	7/31/20	EC	Dox+PABN	250	25	463	371	397	128.03				
27	12/6/18	EC	Dox+PABN	250	25	59	513	-7	193.62				
28	8/1/20	EC	Dox+PABN	250	25	438	238	372	66.59				
29	8/1/20	EC	Dox+PABN	250	25	81	464	15	170.99				
30	8/1/20	EC	Dox+PABN	250	25	83	494	17	184.84				
31	8/1/20	EC	Dox+PABN2	250	50	71	634	5	249.51	3.75	1.75	237.27	9.32
32	8/1/20	EC	Dox+PABN2	250	50	74	631	8	248.13				
33	8/1/20	EC	Dox+PABN2	250	50	68	617	2	241.66				
34	12/6/18	EC	Dox+PABN2	250	50	66	548	0	209.79				
35	7/31/20	EF	Control	0	0	454	76	401	-8.24	294.82	28.26	0.90	2.67
36	7/31/20	EF	Control	0	0	439	84	386	-4.54				
37	7/31/20	EF	Control	0	0	445	78	392	-7.31				
38	12/6/18	EF	Control	0	0	441		388					
39	12/10/18	EF	Control	0	0	417		364					
40	1/28/19	EF	Control	0	0	252	90	199	-1.77				
41	1/28/19	EF	Control	0	0	256	91	203	-1.31				
42	1/28/19	EF	Control	0	0	264	90	211	-1.77				
43	1/23/19	EF	Control	0	0	306	118	253	11.16				
44	1/23/19	EF	Control	0	0	258	122	205	13.01				
45	1/23/19	EF	Control	0	0	294	113	241	8.85				
46	7/31/20	EF	PABN	0	25	408	82	355	-5.47	372.00	12.06	-3.93	1.32
47	7/31/20	EF	PABN	0	25	402	91	349	-1.31				
48	7/31/20	EF	PABN	0	25	437	83	384	-5.00				
49	12/10/18	EF	PABN	0	25	453		400					
50	7/31/20	EF	Dox	100	0	238	349	185	117.87	168.27	16.29	80.37	9.87
51	7/31/20	EF	Dox	100	0	212	368	159	126.64				
52	7/31/20	EF	Dox	100	0	195	402	142	142.35				
53	12/6/18	EF	Dox	150	0	250		197					
54	12/10/18	EF	Dox	100	0	365	284	312	87.84				
55	1/28/19	EF	Dox	100	0	179	215	126	55.97				
56	1/28/19	EF	Dox	100	0	172	191	119	44.88				
57	1/28/19	EF	Dox	100	0	175	196	122	47.19				
58	1/29/19	EF	Dox	100	0		287		89.23				
59	1/29/19	EF	Dox	100	0		294		92.46				
60	1/28/19	EF	Dox	100	0	228	219	175	57.82				
61	1/28/19	EF	Dox	100	0	210	209	157	53.20				
62	1/28/19	EF	Dox	100	0	210	200	157	49.04				
63	7/31/20	EF	Dox+PABN	100	25	56	201	3	49.50	3.33	0.33	74.60	12.56
64	7/31/20	EF	Dox+PABN	100	25	57	284	4	87.84				
65	7/31/20	EF	Dox+PABN	100	25	56	281	3	86.45				
66	7/31/20	KP	Control	0	0	502	98	449	1.92	489.36	19.84	3.10	1.51
67	7/31/20	KP	Control	0	0	503	95	450	0.54				
68	7/31/20	KP	Control	0	0	501	93	448	-0.39				
69	8/1/20	KP	Control	0	0	622	99	569	2.39				
70	8/1/20	KP	Control	0	0	631	92	578	-0.85				
71	8/1/20	KP	Control	0	0	611	90	558	-1.77				
72	12/6/18	KP	Control	0	0	584		531					
73	12/10/18	KP	Control	0	0	596		543					
74	1/13/19	KP	Control	0	0	467	107	414	6.08				
75	1/13/19	KP	Control	0	0	473	114	420	9.31				
76	1/13/19	KP	Control	0	0	476	117	423	10.70				
77	7/31/20	KP	PABN	0	25	365	81	312	-5.93	365.00	51.83	-6.54	0.62
78	7/31/20	KP	PABN	0	25	350	81	297	-5.93				
79	7/31/20	KP	PABN	0	25	385	77	332	-7.78				
80	12/10/18	KP	PABN	0	25	572		519					
81	7/31/20	KP	Dox	250	0	476	139	423	20.86	453.43	40.20	15.40	2.42
82	7/31/20	KP	Dox	250	0	479	132	426	17.63				
83	7/31/20	KP	Dox	250	0	478	144	425	23.17				
84	1/13/19	KP	Dox	250	0	461	115	408	9.78				
85	1/13/19	KP	Dox	250	0	460	118	407	11.16				
86	1/13/19	KP	Dox	250	0	445	115	392	9.78				
87	12/6/18	KP	Dox	250	0	746		693					
88	7/31/20	KP	Dox+PABN	250	25	410	151	357	26.41	303.14	87.54	77.08	34.69
89	7/31/20	KP	Dox+PABN	250	25	80	488	27	182.07				
90	7/31/20	KP	Dox+PABN	250	25	443	129	390	16.24				
91	8/1/20	KP	Dox+PABN	250	25	645	71	592	-10.55				
92	8/1/20	KP	Dox+PABN	250	25	594	93	541	-0.39				
93	8/1/20	KP	Dox+PABN	250	25	257	340	204	113.71				
94	12/6/18	KP	Dox+PABN	250	25	64	553	11	212.10				
95	8/1/20	KP	Dox+PABN2	250	50	330	196	277	47.19	95.50	61.49	184.84	46.07
96	8/1/20	KP	Dox+PABN2	250	50	102	612	49	239.35				
97	8/1/20	KP	Dox+PABN2	250	50	105	599	52	233.34				
98	12/6/18	KP	Dox+PABN2	250	50	57	569	4	219.49				
