	CI_mean	Lac_mean	EF_mean	EC_mean	KP_mean	CI_rel_mean	Lac_rel_mean	EF_rel_mean	EC_rel_mean	KP_rel_mean	log_CI_rel_mean	log_Lac_rel_mean	log_EF_rel_mean	log_EC_rel_mean	log_KP_rel_mean	OD_600_mean	Dox_mean	Time_mean	CI_sd	Lac_sd	EF_sd	EC_sd	KP_sd	CI_rel_sd	Lac_rel_sd	EF_rel_sd	EC_rel_sd	KP_rel_sd	log_CI_rel_sd	log_Lac_rel_sd	log_EF_rel_sd	log_EC_rel_sd	log_KP_rel_sd	log_CI_rel_se	log_Lac_rel_se	log_EF_rel_se	log_EC_rel_se	log_KP_rel_se	OD_600_sd	Dox_sd	OD_600_se	Dox_se
C1-G1-NA-TP0	0.128266038666667	0.142355263666667	0.296071558333333	0.225271367	0.208035772333333	0	0	0	0	0	0	0	0	0	0	0	NA	0	0.128266038666667	0.125244222854907	0.17785867759851	0.0931927502192983	0.101173112329847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA
C1-G1-NA-TP3	0.0806875686666667	0.028396084	0.137099617333333	0.358862997333333	0.394953732333333	9.24997771933333	3.00826738166667	18.9528467963333	48.0168181966667	49.4387565733333	2.24845956033333	1.12080728933333	2.257471782	3.80865302166667	3.87244091133333	128.666666666667	NA	3	0.0806875686666667	0.0360552655478696	0.192823182768029	0.108478093804971	0.152845366721756	9.24997771933333	3.39813202323909	27.2198244083264	22.3798491253231	18.5085382853878	2.24845956033333	0.92004985611058	1.47668398986844	0.523282634883074	0.387811899471685	0.273520888349473	0.53119103209332	0.852563899058553	0.302117370112	0.223903304554917	26.8576494379782	NA	15.5062711328173	NA
C1-G1-NA-TP6	0.0795251213333333	0.0165095953333333	0.290466073666667	0.297653463666667	0.315845746	29.95102956	6.17037197833333	108.850780093333	112.45391255	119.240572503333	3.32418395666667	1.548070188	4.568135446	4.71174369433333	4.73410304466667	376.666666666667	NA	6	0.0795251213333333	0.0198987295583146	0.194941576929872	0.0691297078724896	0.1160562811646	29.95102956	7.44159957911661	71.5207613311292	28.4914784434808	44.4221569904932	3.32418395666667	1.16668609385715	0.609956648496424	0.238406255994932	0.426774000304049	0.331465911022341	0.673586530348216	0.352158635203412	0.137643916075165	0.246398083958676	7.37111479583199	NA	4.25571511160124	NA
C1-G1-NA-TP12	0.0911165416666667	0.012242627	0.353024174	0.251962131666667	0.291654526	41.09831002	5.48122887566667	150.436631133333	107.767364033333	128.549799256667	3.497026739	1.56752713433333	4.97551829966667	4.66311361366667	4.77984679433333	433.333333333333	NA	12	0.0911165416666667	0.0107534243928422	0.153534745154131	0.0823327303559837	0.120012966855927	41.09831002	5.08260942372384	57.4489016697407	30.3465268664556	60.485710168946	3.497026739	1.04943459123345	0.358523452963564	0.280200234141101	0.521322228515987	0.473984869873844	0.605891343745536	0.206993612079308	0.161773680608361	0.300985528968241	32.0052079095471	NA	18.4782154020469	NA
C1-G1-NA-TP24	0.041433584	0.00403721866666667	0.206900467666667	0.284265281666667	0.463363447666667	17.982516658	1.79550424733333	82.4728644733333	110.248977783333	188.833470166667	2.68820520566667	0.824024767333333	4.353528249	4.692195741	5.21103966633333	401.333333333333	NA	24	0.041433584	0.00443197185112793	0.097722986417868	0.102255201124179	0.089916778394568	17.982516658	2.13772462650836	36.1695316732456	26.9024751940569	63.1962182538281	2.68820520566667	0.788943089813175	0.476115768552414	0.242581700456372	0.319976873296942	0.48581319429343	0.455496505278932	0.274885567139162	0.140054610058963	0.184738733932444	60.6822324353128	NA	35.0349032315553	NA
C1-G2-T1-TP0	0.008707064	0.0125592393333333	0.157613828333333	0.292648104333333	0.528471764666667	0	0	0	0	0	0	0	0	0	0	0	0	24.1	0.008707064	0.011391139121318	0.147180482929593	0.242800325111922	0.367966412401367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1-G2-T1-TP3	0.00143194033333333	0.000338998	0.273863772	0.135228040666667	0.589137249	0.074336061	0.009852474	8.59818521666667	6.57183457066667	28.412458346	0.0683348983333333	0.00979995566666667	2.21127357833333	1.620218822	3.15491001166667	43.6666666666667	0	27	0.00143194033333333	0.000346587679157814	0.246493385729012	0.145160800101718	0.19548794954591	0.074336061	0.00362909323379147	3.37153333590618	8.22533493442967	19.4714598795696	0.0683348983333333	0.00358997466547277	0.406950120728839	1.08177588807943	0.914345867215887	0.0575126715104665	0.00207267283949464	0.234952761749546	0.624563600185506	0.527897832569514	21.5715862498179	0	12.4543611281796	0
C1-G2-T1-TP6	0.000412190333333333	6.51e-05	0.473691780666667	0.088708495	0.437122426333333	0.139282532333333	0.0209296156666667	151.6626477	28.4514046826667	142.725735433333	0.119950733	0.0206928363333333	5.01421934366667	3.106437364	4.926411539	323	0	30	0.000412190333333333	2.63522295071973e-05	0.125620859566448	0.0835290325692756	0.134846318565338	0.139282532333333	0.00804799030516938	32.2765199326902	26.8916467416566	51.7933754281849	0.119950733	0.0078971131259199	0.20166727873141	0.896738012352437	0.348660291106078	0.100691263763398	0.00455940038907078	0.116432657662319	0.517731932824249	0.201299112925828	17.5214154679352	0	10.1159939369957	0
C1-G2-T1-TP12	0.00483952466666667	4.78e-05	0.446091705333333	0.113642093	0.435378883666667	2.29004896766667	0.0200627263333333	180.064357066667	45.4299844	187.195546833333	0.739041167666667	0.0198479876666667	5.18208161966667	3.650454354	5.14361215766667	415	0	36	0.00483952466666667	1.4484129245488e-05	0.156970417792358	0.0862029575078779	0.172888327660132	2.29004896766667	0.00708746571620352	42.0215811253853	33.8881350008028	99.1356052806666	0.739041167666667	0.00696181020174109	0.220201778251729	0.758974265586756	0.532218087634037	0.650782005040671	0.0040194029940223	0.12713355594967	0.438193996544512	0.307276256163099	56.6303805390711	0	32.6955654485436	0
C1-G2-T1-TP24	0.007950355	0.000398419333333333	0.361701817	0.121661541	0.508287876333333	3.61257455133333	0.183189875333333	139.124052433333	47.0900376	211.656812233333	1.191130298	0.154124465666667	4.92879089366667	3.71021399966667	5.28278488066667	401.666666666667	0	48	0.007950355	0.000513805315227795	0.140021394548145	0.086238362140432	0.154642300493485	3.61257455133333	0.250921093977629	29.2972315060618	33.6619474084158	101.504719736109	1.191130298	0.202199416043724	0.199829311332576	0.695497937912388	0.481550570318464	0.610289503990326	0.116739887282829	0.115371506689841	0.401545921674547	0.278023351401783	73.111786555475	0	42.211109648738	0
C1-G2-T2-TP0	0.00524099933333333	0.003165547	0.122413104333333	0.375387464666667	0.493792885	0	0	0	0	0	0	0	0	0	0	0	13.09	24.1	0.00524099933333333	0.00205835715490121	0.0104220774364378	0.131073753403685	0.13378892120743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.07050917544133	0	4.08216037574877
C1-G2-T2-TP3	0.000871574666666667	0.000123196	0.284388996666667	0.118508094	0.596108151666667	0.0420654353333333	0.006859789	6.59088761666667	6.199656011	33.493864483	0.040291964	0.00682413033333333	1.985942048	1.55336375033333	3.097782839	46.3333333333333	8.46666666666667	27	0.000871574666666667	6.07151741165254e-05	0.346234319772905	0.131497573552562	0.305026720731468	0.0420654353333333	0.00610119956664843	2.69844872174055	7.41822965355785	29.579663173457	0.040291964	0.00605867486780412	0.348107746789645	1.17002678683068	1.33977990925976	0.0300687231930369	0.00349797756585913	0.200980101315995	0.675515280335768	0.773522291265974	29.2631736715848	2.18516208399591	16.8951011966323	1.261603917418
