	taxa	sample	mean	se	V1	V2	V3	V4	Time
1	log_CI_rel_mean	C1-G1-NA-TP0	0	0	C1	G1	T1	TP0	0
2	log_Lac_rel_mean	C1-G1-NA-TP0	0	0	C1	G1	T1	TP0	0
3	log_EF_rel_mean	C1-G1-NA-TP0	0	0	C1	G1	T1	TP0	0
4	log_EC_rel_mean	C1-G1-NA-TP0	0	0	C1	G1	T1	TP0	0
5	log_KP_rel_mean	C1-G1-NA-TP0	0	0	C1	G1	T1	TP0	0
16	log_CI_rel_mean	C1-G1-NA-TP3	2.24845956033333	0.273520888349473	C1	G1	T1	TP3	3
17	log_Lac_rel_mean	C1-G1-NA-TP3	1.12080728933333	0.53119103209332	C1	G1	T1	TP3	3
18	log_EF_rel_mean	C1-G1-NA-TP3	2.257471782	0.852563899058553	C1	G1	T1	TP3	3
19	log_EC_rel_mean	C1-G1-NA-TP3	3.80865302166667	0.302117370112	C1	G1	T1	TP3	3
20	log_KP_rel_mean	C1-G1-NA-TP3	3.87244091133333	0.223903304554917	C1	G1	T1	TP3	3
31	log_CI_rel_mean	C1-G1-NA-TP6	3.32418395666667	0.331465911022341	C1	G1	T1	TP6	6
32	log_Lac_rel_mean	C1-G1-NA-TP6	1.548070188	0.673586530348216	C1	G1	T1	TP6	6
33	log_EF_rel_mean	C1-G1-NA-TP6	4.568135446	0.352158635203412	C1	G1	T1	TP6	6
34	log_EC_rel_mean	C1-G1-NA-TP6	4.71174369433333	0.137643916075165	C1	G1	T1	TP6	6
35	log_KP_rel_mean	C1-G1-NA-TP6	4.73410304466667	0.246398083958676	C1	G1	T1	TP6	6
46	log_CI_rel_mean	C1-G1-NA-TP12	3.497026739	0.473984869873844	C1	G1	T1	TP12	12
47	log_Lac_rel_mean	C1-G1-NA-TP12	1.56752713433333	0.605891343745536	C1	G1	T1	TP12	12
48	log_EF_rel_mean	C1-G1-NA-TP12	4.97551829966667	0.206993612079308	C1	G1	T1	TP12	12
49	log_EC_rel_mean	C1-G1-NA-TP12	4.66311361366667	0.161773680608361	C1	G1	T1	TP12	12
50	log_KP_rel_mean	C1-G1-NA-TP12	4.77984679433333	0.300985528968241	C1	G1	T1	TP12	12
61	log_CI_rel_mean	C1-G1-NA-TP24	2.68820520566667	0.48581319429343	C1	G1	T1	TP24	24
62	log_Lac_rel_mean	C1-G1-NA-TP24	0.824024767333333	0.455496505278932	C1	G1	T1	TP24	24
63	log_EF_rel_mean	C1-G1-NA-TP24	4.353528249	0.274885567139162	C1	G1	T1	TP24	24
64	log_EC_rel_mean	C1-G1-NA-TP24	4.692195741	0.140054610058963	C1	G1	T1	TP24	24
65	log_KP_rel_mean	C1-G1-NA-TP24	5.21103966633333	0.184738733932444	C1	G1	T1	TP24	24
76	log_CI_rel_mean	C1-G2-T1-TP0	0	0	C1	G2	T1	TP0	24.1
77	log_Lac_rel_mean	C1-G2-T1-TP0	0	0	C1	G2	T1	TP0	24.1
78	log_EF_rel_mean	C1-G2-T1-TP0	0	0	C1	G2	T1	TP0	24.1
79	log_EC_rel_mean	C1-G2-T1-TP0	0	0	C1	G2	T1	TP0	24.1
80	log_KP_rel_mean	C1-G2-T1-TP0	0	0	C1	G2	T1	TP0	24.1
91	log_CI_rel_mean	C1-G2-T1-TP3	0.0683348983333333	0.0575126715104665	C1	G2	T1	TP3	27
92	log_Lac_rel_mean	C1-G2-T1-TP3	0.00979995566666667	0.00207267283949464	C1	G2	T1	TP3	27
93	log_EF_rel_mean	C1-G2-T1-TP3	2.21127357833333	0.234952761749546	C1	G2	T1	TP3	27
94	log_EC_rel_mean	C1-G2-T1-TP3	1.620218822	0.624563600185506	C1	G2	T1	TP3	27
95	log_KP_rel_mean	C1-G2-T1-TP3	3.15491001166667	0.527897832569514	C1	G2	T1	TP3	27
106	log_CI_rel_mean	C1-G2-T1-TP6	0.119950733	0.100691263763398	C1	G2	T1	TP6	30
107	log_Lac_rel_mean	C1-G2-T1-TP6	0.0206928363333333	0.00455940038907078	C1	G2	T1	TP6	30
108	log_EF_rel_mean	C1-G2-T1-TP6	5.01421934366667	0.116432657662319	C1	G2	T1	TP6	30
109	log_EC_rel_mean	C1-G2-T1-TP6	3.106437364	0.517731932824249	C1	G2	T1	TP6	30
110	log_KP_rel_mean	C1-G2-T1-TP6	4.926411539	0.201299112925828	C1	G2	T1	TP6	30
121	log_CI_rel_mean	C1-G2-T1-TP12	0.739041167666667	0.650782005040671	C1	G2	T1	TP12	36
122	log_Lac_rel_mean	C1-G2-T1-TP12	0.0198479876666667	0.0040194029940223	C1	G2	T1	TP12	36
123	log_EF_rel_mean	C1-G2-T1-TP12	5.18208161966667	0.12713355594967	C1	G2	T1	TP12	36
124	log_EC_rel_mean	C1-G2-T1-TP12	3.650454354	0.438193996544512	C1	G2	T1	TP12	36
125	log_KP_rel_mean	C1-G2-T1-TP12	5.14361215766667	0.307276256163099	C1	G2	T1	TP12	36
136	log_CI_rel_mean	C1-G2-T1-TP24	1.191130298	0.610289503990326	C1	G2	T1	TP24	48
137	log_Lac_rel_mean	C1-G2-T1-TP24	0.154124465666667	0.116739887282829	C1	G2	T1	TP24	48
138	log_EF_rel_mean	C1-G2-T1-TP24	4.92879089366667	0.115371506689841	C1	G2	T1	TP24	48
139	log_EC_rel_mean	C1-G2-T1-TP24	3.71021399966667	0.401545921674547	C1	G2	T1	TP24	48
140	log_KP_rel_mean	C1-G2-T1-TP24	5.28278488066667	0.278023351401783	C1	G2	T1	TP24	48
151	log_CI_rel_mean	C1-G2-T2-TP0	0	0	C1	G2	T2	TP0	24.1
152	log_Lac_rel_mean	C1-G2-T2-TP0	0	0	C1	G2	T2	TP0	24.1
153	log_EF_rel_mean	C1-G2-T2-TP0	0	0	C1	G2	T2	TP0	24.1
154	log_EC_rel_mean	C1-G2-T2-TP0	0	0	C1	G2	T2	TP0	24.1
155	log_KP_rel_mean	C1-G2-T2-TP0	0	0	C1	G2	T2	TP0	24.1
166	log_CI_rel_mean	C1-G2-T2-TP3	0.040291964	0.0300687231930369	C1	G2	T2	TP3	27
167	log_Lac_rel_mean	C1-G2-T2-TP3	0.00682413033333333	0.00349797756585913	C1	G2	T2	TP3	27
168	log_EF_rel_mean	C1-G2-T2-TP3	1.985942048	0.200980101315995	C1	G2	T2	TP3	27
169	log_EC_rel_mean	C1-G2-T2-TP3	1.55336375033333	0.675515280335768	C1	G2	T2	TP3	27
170	log_KP_rel_mean	C1-G2-T2-TP3	3.097782839	0.773522291265974	C1	G2	T2	TP3	27
181	log_CI_rel_mean	C1-G2-T2-TP6	0.0163403133333333	0.00256169599520333	C1	G2	T2	TP6	30
182	log_Lac_rel_mean	C1-G2-T2-TP6	0.0163403133333333	0.00256169599520333	C1	G2	T2	TP6	30
183	log_EF_rel_mean	C1-G2-T2-TP6	5.032536919	0.160157567215053	C1	G2	T2	TP6	30
184	log_EC_rel_mean	C1-G2-T2-TP6	3.152291889	0.522518924812768	C1	G2	T2	TP6	30
185	log_KP_rel_mean	C1-G2-T2-TP6	4.906158757	0.209776352733473	C1	G2	T2	TP6	30
196	log_CI_rel_mean	C1-G2-T2-TP12	0.487379862333333	0.459235986813128	C1	G2	T2	TP12	36
197	log_Lac_rel_mean	C1-G2-T2-TP12	0.0168919553333333	0.00404465244929625	C1	G2	T2	TP12	36
198	log_EF_rel_mean	C1-G2-T2-TP12	5.26852996533333	0.0916597694805436	C1	G2	T2	TP12	36
199	log_EC_rel_mean	C1-G2-T2-TP12	3.69119555666667	0.473929838112279	C1	G2	T2	TP12	36
200	log_KP_rel_mean	C1-G2-T2-TP12	5.07877774633333	0.2677193098627	C1	G2	T2	TP12	36
211	log_CI_rel_mean	C1-G2-T2-TP24	0.755200542	0.726983300249038	C1	G2	T2	TP24	48
212	log_Lac_rel_mean	C1-G2-T2-TP24	0.0348830893333333	0.00802426552126241	C1	G2	T2	TP24	48
213	log_EF_rel_mean	C1-G2-T2-TP24	4.92667830433333	0.215799771853336	C1	G2	T2	TP24	48
214	log_EC_rel_mean	C1-G2-T2-TP24	3.72364980766667	0.398569635015871	C1	G2	T2	TP24	48
215	log_KP_rel_mean	C1-G2-T2-TP24	5.203633599	0.28704107459437	C1	G2	T2	TP24	48
226	log_CI_rel_mean	C1-G2-T3-TP0	0	0	C1	G2	T3	TP0	24.1
227	log_Lac_rel_mean	C1-G2-T3-TP0	0	0	C1	G2	T3	TP0	24.1
228	log_EF_rel_mean	C1-G2-T3-TP0	0	0	C1	G2	T3	TP0	24.1
229	log_EC_rel_mean	C1-G2-T3-TP0	0	0	C1	G2	T3	TP0	24.1
230	log_KP_rel_mean	C1-G2-T3-TP0	0	0	C1	G2	T3	TP0	24.1
241	log_CI_rel_mean	C1-G2-T3-TP3	0.029317573	0.022479081330817	C1	G2	T3	TP3	27
242	log_Lac_rel_mean	C1-G2-T3-TP3	0.00883646566666667	0.00236145621951317	C1	G2	T3	TP3	27
