	taxa	sample	mean	se	V1	V2	V3	V4	Time	TP
1	log_CI_rel_mean	C1-G1-T1-TP0	0	0	C1	G1	T1	TP0	0	0
2	log_Lac_rel_mean	C1-G1-T1-TP0	0	0	C1	G1	T1	TP0	0	0
3	log_EF_rel_mean	C1-G1-T1-TP0	0	0	C1	G1	T1	TP0	0	0
4	log_EC_rel_mean	C1-G1-T1-TP0	0	0	C1	G1	T1	TP0	0	0
5	log_KP_rel_mean	C1-G1-T1-TP0	0	0	C1	G1	T1	TP0	0	0
6	log_CI_rel_mean	C1-G1-T1-TP3	2.24845956	0.273520888	C1	G1	T1	TP3	3	3
7	log_Lac_rel_mean	C1-G1-T1-TP3	1.120807289	0.531191032	C1	G1	T1	TP3	3	3
8	log_EF_rel_mean	C1-G1-T1-TP3	2.26E+00	0.852563899	C1	G1	T1	TP3	3	3
9	log_EC_rel_mean	C1-G1-T1-TP3	3.81E+00	0.30211737	C1	G1	T1	TP3	3	3
10	log_KP_rel_mean	C1-G1-T1-TP3	3.872440911	0.223903305	C1	G1	T1	TP3	3	3
11	log_CI_rel_mean	C1-G1-T1-TP6	3.324183957	0.331465911	C1	G1	T1	TP6	6	6
12	log_Lac_rel_mean	C1-G1-T1-TP6	1.548070188	0.67358653	C1	G1	T1	TP6	6	6
13	log_EF_rel_mean	C1-G1-T1-TP6	4.57E+00	0.352158635	C1	G1	T1	TP6	6	6
14	log_EC_rel_mean	C1-G1-T1-TP6	4.71E+00	0.137643916	C1	G1	T1	TP6	6	6
15	log_KP_rel_mean	C1-G1-T1-TP6	4.73E+00	0.246398084	C1	G1	T1	TP6	6	6
16	log_CI_rel_mean	C1-G1-T1-TP12	3.497026739	0.47398487	C1	G1	T1	TP12	12	12
17	log_Lac_rel_mean	C1-G1-T1-TP12	1.567527134	0.605891344	C1	G1	T1	TP12	12	12
18	log_EF_rel_mean	C1-G1-T1-TP12	4.98E+00	0.206993612	C1	G1	T1	TP12	12	12
19	log_EC_rel_mean	C1-G1-T1-TP12	4.66E+00	0.161773681	C1	G1	T1	TP12	12	12
20	log_KP_rel_mean	C1-G1-T1-TP12	4.779846794	0.300985529	C1	G1	T1	TP12	12	12
21	log_CI_rel_mean	C1-G1-T1-TP24	2.688205206	0.485813194	C1	G1	T1	TP24	24	24
22	log_Lac_rel_mean	C1-G1-T1-TP24	0.824024767	0.455496505	C1	G1	T1	TP24	24	24
23	log_EF_rel_mean	C1-G1-T1-TP24	4.35E+00	0.274885567	C1	G1	T1	TP24	24	24
24	log_EC_rel_mean	C1-G1-T1-TP24	4.69E+00	0.14005461	C1	G1	T1	TP24	24	24
25	log_KP_rel_mean	C1-G1-T1-TP24	5.211039666	0.184738734	C1	G1	T1	TP24	24	24
26	log_CI_rel_mean	C1-G2-T1-TP0	0	0	C1	G2	T1	TP0	24.1	0
27	log_Lac_rel_mean	C1-G2-T1-TP0	0.00E+00	0	C1	G2	T1	TP0	24.1	0
28	log_EF_rel_mean	C1-G2-T1-TP0	0.00E+00	0	C1	G2	T1	TP0	24.1	0
29	log_EC_rel_mean	C1-G2-T1-TP0	0	0	C1	G2	T1	TP0	24.1	0
30	log_KP_rel_mean	C1-G2-T1-TP0	0	0	C1	G2	T1	TP0	24.1	0
31	log_CI_rel_mean	C1-G2-T1-TP3	6.83E-02	0.057512672	C1	G2	T1	TP3	27	3
32	log_Lac_rel_mean	C1-G2-T1-TP3	9.80E-03	0.002072673	C1	G2	T1	TP3	27	3
33	log_EF_rel_mean	C1-G2-T1-TP3	2.211273578	0.234952762	C1	G2	T1	TP3	27	3
34	log_EC_rel_mean	C1-G2-T1-TP3	1.62E+00	0.6245636	C1	G2	T1	TP3	27	3
35	log_KP_rel_mean	C1-G2-T1-TP3	3.15E+00	0.527897833	C1	G2	T1	TP3	27	3
36	log_CI_rel_mean	C1-G2-T1-TP6	1.20E-01	0.100691264	C1	G2	T1	TP6	30	6
37	log_Lac_rel_mean	C1-G2-T1-TP6	0.020692836	0.0045594	C1	G2	T1	TP6	30	6
38	log_EF_rel_mean	C1-G2-T1-TP6	5.014219344	0.116432658	C1	G2	T1	TP6	30	6
39	log_EC_rel_mean	C1-G2-T1-TP6	3.106437364	0.517731933	C1	G2	T1	TP6	30	6
40	log_KP_rel_mean	C1-G2-T1-TP6	4.93E+00	0.201299113	C1	G2	T1	TP6	30	6
41	log_CI_rel_mean	C1-G2-T1-TP12	0.739041168	0.650782005	C1	G2	T1	TP12	36	12
42	log_Lac_rel_mean	C1-G2-T1-TP12	0.019847988	0.004019403	C1	G2	T1	TP12	36	12
43	log_EF_rel_mean	C1-G2-T1-TP12	5.18208162	0.127133556	C1	G2	T1	TP12	36	12
44	log_EC_rel_mean	C1-G2-T1-TP12	3.650454354	0.438193997	C1	G2	T1	TP12	36	12
45	log_KP_rel_mean	C1-G2-T1-TP12	5.143612158	0.307276256	C1	G2	T1	TP12	36	12
46	log_CI_rel_mean	C1-G2-T1-TP24	1.191130298	0.610289504	C1	G2	T1	TP24	48	24
47	log_Lac_rel_mean	C1-G2-T1-TP24	0.154124466	0.116739887	C1	G2	T1	TP24	48	24
48	log_EF_rel_mean	C1-G2-T1-TP24	4.928790894	0.115371507	C1	G2	T1	TP24	48	24
49	log_EC_rel_mean	C1-G2-T1-TP24	3.710214	0.401545922	C1	G2	T1	TP24	48	24
50	log_KP_rel_mean	C1-G2-T1-TP24	5.282784881	0.278023351	C1	G2	T1	TP24	48	24
51	log_CI_rel_mean	C1-G2-T2-TP0	0.00E+00	0	C1	G2	T2	TP0	24.1	0
52	log_Lac_rel_mean	C1-G2-T2-TP0	0	0	C1	G2	T2	TP0	24.1	0
53	log_EF_rel_mean	C1-G2-T2-TP0	0	0	C1	G2	T2	TP0	24.1	0
54	log_EC_rel_mean	C1-G2-T2-TP0	0.00E+00	0	C1	G2	T2	TP0	24.1	0
55	log_KP_rel_mean	C1-G2-T2-TP0	0.00E+00	0	C1	G2	T2	TP0	24.1	0
56	log_CI_rel_mean	C1-G2-T2-TP3	4.03E-02	0.030068723	C1	G2	T2	TP3	27	3
57	log_Lac_rel_mean	C1-G2-T2-TP3	0.00682413	0.003497978	C1	G2	T2	TP3	27	3
58	log_EF_rel_mean	C1-G2-T2-TP3	1.985942048	0.200980101	C1	G2	T2	TP3	27	3
59	log_EC_rel_mean	C1-G2-T2-TP3	1.55336375	0.67551528	C1	G2	T2	TP3	27	3
60	log_KP_rel_mean	C1-G2-T2-TP3	3.10E+00	0.773522291	C1	G2	T2	TP3	27	3
61	log_CI_rel_mean	C1-G2-T2-TP6	1.63E-02	0.002561696	C1	G2	T2	TP6	30	6
62	log_Lac_rel_mean	C1-G2-T2-TP6	0.016340313	0.002561696	C1	G2	T2	TP6	30	6
63	log_EF_rel_mean	C1-G2-T2-TP6	5.032536919	0.160157567	C1	G2	T2	TP6	30	6
64	log_EC_rel_mean	C1-G2-T2-TP6	3.152291889	0.522518925	C1	G2	T2	TP6	30	6
65	log_KP_rel_mean	C1-G2-T2-TP6	4.906158757	0.209776353	C1	G2	T2	TP6	30	6
66	log_CI_rel_mean	C1-G2-T2-TP12	4.87E-01	0.459235987	C1	G2	T2	TP12	36	12
67	log_Lac_rel_mean	C1-G2-T2-TP12	0.016891955	0.004044652	C1	G2	T2	TP12	36	12
68	log_EF_rel_mean	C1-G2-T2-TP12	5.27E+00	0.091659769	C1	G2	T2	TP12	36	12
69	log_EC_rel_mean	C1-G2-T2-TP12	3.691195557	0.473929838	C1	G2	T2	TP12	36	12
70	log_KP_rel_mean	C1-G2-T2-TP12	5.078777746	0.26771931	C1	G2	T2	TP12	36	12
71	log_CI_rel_mean	C1-G2-T2-TP24	7.55E-01	0.7269833	C1	G2	T2	TP24	48	24
72	log_Lac_rel_mean	C1-G2-T2-TP24	0.034883089	0.008024266	C1	G2	T2	TP24	48	24
73	log_EF_rel_mean	C1-G2-T2-TP24	4.926678304	0.215799772	C1	G2	T2	TP24	48	24
74	log_EC_rel_mean	C1-G2-T2-TP24	3.723649808	0.398569635	C1	G2	T2	TP24	48	24
75	log_KP_rel_mean	C1-G2-T2-TP24	5.20E+00	0.287041075	C1	G2	T2	TP24	48	24
