Sample_ID	Sample_ID_no_rep	Rep	OD600	OD600_corr	OD600_corr_old	OD480	Dox_conc	Dox_R1_corr	Dox_corr_CC0	Time
C1-G1-NA-TP0-R1	C1-G1-NA-TP0	R1	53	0	3					0.0
C1-G1-NA-TP0-R2	C1-G1-NA-TP0	R2	54	0	4					0.0
C1-G1-NA-TP0-R3	C1-G1-NA-TP0	R3	53	0	3					0.0
C1-G1-NA-TP12-R1	C1-G1-NA-TP12	R1	523	470	473					12.0
C1-G1-NA-TP12-R2	C1-G1-NA-TP12	R2	473	419	423					12.0
C1-G1-NA-TP12-R3	C1-G1-NA-TP12	R3	464	411	414					12.0
C1-G1-NA-TP24-R1	C1-G1-NA-TP24	R1	524	471	474					24.0
C1-G1-NA-TP24-R2	C1-G1-NA-TP24	R2	414	360	364					24.0
C1-G1-NA-TP24-R3	C1-G1-NA-TP24	R3	426	373	376					24.0
C1-G1-NA-TP3-R1	C1-G1-NA-TP3	R1	151	98	101					3.0
C1-G1-NA-TP3-R2	C1-G1-NA-TP3	R2	202	148	152					3.0
C1-G1-NA-TP3-R3	C1-G1-NA-TP3	R3	193	140	143					3.0
C1-G1-NA-TP6-R1	C1-G1-NA-TP6	R1	427	374	377					6.0
C1-G1-NA-TP6-R2	C1-G1-NA-TP6	R2	439	385	389					6.0
C1-G1-NA-TP6-R3	C1-G1-NA-TP6	R3	424	371	374					6.0
C1-G2-T1-TP0-R1	C1-G2-T1-TP0	R1	49	0	-1	90	-1.77	0.00		24.1
C1-G2-T1-TP0-R2	C1-G2-T1-TP0	R2	44	0	-6	66	-12.86	0.00		24.1
C1-G2-T1-TP0-R3	C1-G2-T1-TP0	R3	49	0	-1	95	0.54	0.00		24.1
C1-G2-T1-TP12-R1	C1-G2-T1-TP12	R1	526	477	476	92	-0.85	0.00		36.0
C1-G2-T1-TP12-R2	C1-G2-T1-TP12	R2	446	402	396	85	-4.08	0.00		36.0
C1-G2-T1-TP12-R3	C1-G2-T1-TP12	R3	415	366	365	92	-0.85	0.00		36.0
C1-G2-T1-TP24-R1	C1-G2-T1-TP24	R1	526	477	476	89	-2.23	0.00		48.0
C1-G2-T1-TP24-R2	C1-G2-T1-TP24	R2	441	397	391	86	-3.62	0.00		48.0
C1-G2-T1-TP24-R3	C1-G2-T1-TP24	R3	380	331	330	90	-1.77	0.00		48.0
C1-G2-T1-TP3-R1	C1-G2-T1-TP3	R1	108	59	58	90	-1.77	0.00		27.0
C1-G2-T1-TP3-R2	C1-G2-T1-TP3	R2	97	53	47	85	-4.08	0.00		27.0
C1-G2-T1-TP3-R3	C1-G2-T1-TP3	R3	68	19	18	94	0.08	0.00		27.0
C1-G2-T1-TP6-R1	C1-G2-T1-TP6	R1	390	341	340	93	-0.39	0.00		30.0
C1-G2-T1-TP6-R2	C1-G2-T1-TP6	R2	366	322	316	87	-3.16	0.00		30.0
C1-G2-T1-TP6-R3	C1-G2-T1-TP6	R3	355	306	305	87	-3.16	0.00		30.0
C1-G2-T2-TP0-R1	C1-G2-T2-TP0	R1	49	0	-1	110	7.47	9.24	1.00	24.1
C1-G2-T2-TP0-R2	C1-G2-T2-TP0	R2	48	0	-2	112	8.39	21.25	1.00	24.1
C1-G2-T2-TP0-R3	C1-G2-T2-TP0	R3	51	0	1	114	9.31	8.78	1.00	24.1
C1-G2-T2-TP12-R1	C1-G2-T2-TP12	R1	520	471	470	109	7.01	7.85	0.85	36.0
C1-G2-T2-TP12-R2	C1-G2-T2-TP12	R2	465	417	415	105	5.16	9.24	0.43	36.0
C1-G2-T2-TP12-R3	C1-G2-T2-TP12	R3	411	360	361	98	1.92	2.77	0.32	36.0
C1-G2-T2-TP24-R1	C1-G2-T2-TP24	R1	513	464	463	108	6.54	8.78	0.95	48.0
C1-G2-T2-TP24-R2	C1-G2-T2-TP24	R2	419	371	369	94	0.08	3.70	0.17	48.0
C1-G2-T2-TP24-R3	C1-G2-T2-TP24	R3	386	335	336	93	-0.39	1.39	0.16	48.0
C1-G2-T2-TP3-R1	C1-G2-T2-TP3	R1	120	71	70	110	7.47	9.24	1.00	27.0
C1-G2-T2-TP3-R2	C1-G2-T2-TP3	R2	102	54	52	107	6.08	10.16	0.48	27.0
C1-G2-T2-TP3-R3	C1-G2-T2-TP3	R3	65	14	15	107	6.08	6.00	0.68	27.0
C1-G2-T2-TP6-R1	C1-G2-T2-TP6	R1	397	348	347	61	-15.17	0.00	0.00	30.0
C1-G2-T2-TP6-R2	C1-G2-T2-TP6	R2	367	319	317	115	9.78	12.93	0.61	30.0
C1-G2-T2-TP6-R3	C1-G2-T2-TP6	R3	365	314	315	101	3.31	6.47	0.74	30.0
C1-G2-T3-TP0-R1	C1-G2-T3-TP0	R1	51	0	-2	299	94.77	96.54	1.00	24.1
C1-G2-T3-TP0-R2	C1-G2-T3-TP0	R2	54	0	1	325	106.78	119.64	1.00	24.1
C1-G2-T3-TP0-R3	C1-G2-T3-TP0	R3	52	0	-1	318	103.55	103.01	1.00	24.1
C1-G2-T3-TP12-R1	C1-G2-T3-TP12	R1	617	566	564	122	13.01	13.86	0.14	36.0
C1-G2-T3-TP12-R2	C1-G2-T3-TP12	R2	288	234	235	97	1.46	5.54	0.05	36.0
C1-G2-T3-TP12-R3	C1-G2-T3-TP12	R3	419	367	366	97	1.46	2.31	0.02	36.0
C1-G2-T3-TP24-R1	C1-G2-T3-TP24	R1	532	481	479	117	10.70	12.93	0.13	48.0
C1-G2-T3-TP24-R2	C1-G2-T3-TP24	R2	480	426	427	123	13.47	17.09	0.14	48.0
C1-G2-T3-TP24-R3	C1-G2-T3-TP24	R3	391	339	338	114	9.31	11.09	0.11	48.0
C1-G2-T3-TP3-R1	C1-G2-T3-TP3	R1	122	71	69	318	103.55	105.32	1.09	27.0
C1-G2-T3-TP3-R2	C1-G2-T3-TP3	R2	99	45	46	317	103.08	107.16	0.90	27.0
C1-G2-T3-TP3-R3	C1-G2-T3-TP3	R3	69	17	16	332	110.01	109.94	1.07	27.0
C1-G2-T3-TP6-R1	C1-G2-T3-TP6	R1	447	396	394	132	17.63	18.01	0.19	30.0
C1-G2-T3-TP6-R2	C1-G2-T3-TP6	R2	371	317	318	117	10.70	13.86	0.12	30.0
C1-G2-T3-TP6-R3	C1-G2-T3-TP6	R3	350	298	297	139	20.86	24.02	0.23	30.0
C1-G2-T4-TP0-R1	C1-G2-T4-TP0	R1	72	0	8	612	239.35	241.12	1.00	24.1
C1-G2-T4-TP0-R2	C1-G2-T4-TP0	R2	57	0	-7	516	195.00	207.86	1.00	24.1
C1-G2-T4-TP0-R3	C1-G2-T4-TP0	R3	59	0	-5	631	248.13	247.59	1.00	24.1
C1-G2-T4-TP12-R1	C1-G2-T4-TP12	R1	527	455	463	113	8.85	9.70	0.04	36.0
C1-G2-T4-TP12-R2	C1-G2-T4-TP12	R2	534	477	470	102	3.77	7.85	0.04	36.0
C1-G2-T4-TP12-R3	C1-G2-T4-TP12	R3	376	317	312	109	7.01	7.85	0.03	36.0
C1-G2-T4-TP24-R1	C1-G2-T4-TP24	R1	537	465	473	114	9.31	11.55	0.05	48.0
C1-G2-T4-TP24-R2	C1-G2-T4-TP24	R2	558	501	494	110	7.47	11.09	0.05	48.0
C1-G2-T4-TP24-R3	C1-G2-T4-TP24	R3	405	346	341	137	19.94	21.71	0.09	48.0
C1-G2-T4-TP3-R1	C1-G2-T4-TP3	R1	109	37	45	674	267.99	269.76	1.12	27.0
C1-G2-T4-TP3-R2	C1-G2-T4-TP3	R2	96	39	32	643	253.67	257.75	1.24	27.0
C1-G2-T4-TP3-R3	C1-G2-T4-TP3	R3	69	10	5	655	259.21	259.13	1.05	27.0
C1-G2-T4-TP6-R1	C1-G2-T4-TP6	R1	470	398	406	108	6.54	6.93	0.03	30.0
C1-G2-T4-TP6-R2	C1-G2-T4-TP6	R2	430	373	366	171	35.64	38.80	0.19	30.0
C1-G2-T4-TP6-R3	C1-G2-T4-TP6	R3	301	242	237	115	9.78	12.93	0.05	30.0
C1-G3-T1-TP0-R1	C1-G3-T1-TP0	R1	54	0	4					48.1
C1-G3-T1-TP0-R2	C1-G3-T1-TP0	R2	50	0	0					48.1
C1-G3-T1-TP0-R3	C1-G3-T1-TP0	R3	50	0	0					48.1
C1-G3-T1-TP12-R1	C1-G3-T1-TP12	R1	528	474	478					60.0
C1-G3-T1-TP12-R2	C1-G3-T1-TP12	R2	464	414	414					60.0
C1-G3-T1-TP12-R3	C1-G3-T1-TP12	R3	418	368	368					60.0
C1-G3-T1-TP24-R1	C1-G3-T1-TP24	R1	484	430	434					72.0
C1-G3-T1-TP24-R2	C1-G3-T1-TP24	R2	413	363	363					72.0
C1-G3-T1-TP24-R3	C1-G3-T1-TP24	R3	405	355	355					72.0
C1-G3-T1-TP3-R1	C1-G3-T1-TP3	R1	128	74	78					51.0
C1-G3-T1-TP3-R2	C1-G3-T1-TP3	R2	107	57	57					51.0
C1-G3-T1-TP3-R3	C1-G3-T1-TP3	R3	67	17	17					51.0
C1-G3-T1-TP6-R1	C1-G3-T1-TP6	R1	391	337	341					54.0
C1-G3-T1-TP6-R2	C1-G3-T1-TP6	R2	404	354	354					54.0
C1-G3-T1-TP6-R3	C1-G3-T1-TP6	R3	335	285	285					54.0
C1-G3-T2-TP0-R1	C1-G3-T2-TP0	R1	54	0	4					48.1
C1-G3-T2-TP0-R2	C1-G3-T2-TP0	R2	50	0	0					48.1
C1-G3-T2-TP0-R3	C1-G3-T2-TP0	R3	50	0	0					48.1
C1-G3-T2-TP12-R1	C1-G3-T2-TP12	R1	534	480	484					60.0
C1-G3-T2-TP12-R2	C1-G3-T2-TP12	R2	465	415	415					60.0
C1-G3-T2-TP12-R3	C1-G3-T2-TP12	R3	394	344	344					60.0
C1-G3-T2-TP24-R1	C1-G3-T2-TP24	R1	528	474	478					72.0
C1-G3-T2-TP24-R2	C1-G3-T2-TP24	R2	403	353	353					72.0
C1-G3-T2-TP24-R3	C1-G3-T2-TP24	R3	377	327	327					72.0
C1-G3-T2-TP3-R1	C1-G3-T2-TP3	R1	128	74	78					51.0
C1-G3-T2-TP3-R2	C1-G3-T2-TP3	R2	101	51	51					51.0
C1-G3-T2-TP3-R3	C1-G3-T2-TP3	R3	64	14	14					51.0
C1-G3-T2-TP6-R1	C1-G3-T2-TP6	R1	438	384	388					54.0
C1-G3-T2-TP6-R2	C1-G3-T2-TP6	R2	394	344	344					54.0
C1-G3-T2-TP6-R3	C1-G3-T2-TP6	R3	335	285	285					54.0
C1-G3-T3-TP0-R1	C1-G3-T3-TP0	R1	55	0	5					48.1
C1-G3-T3-TP0-R2	C1-G3-T3-TP0	R2	44	0	-6					48.1
C1-G3-T3-TP0-R3	C1-G3-T3-TP0	R3	53	0	3					48.1
C1-G3-T3-TP12-R1	C1-G3-T3-TP12	R1	544	489	494					60.0
C1-G3-T3-TP12-R2	C1-G3-T3-TP12	R2	462	418	412					60.0
C1-G3-T3-TP12-R3	C1-G3-T3-TP12	R3	390	337	340					60.0
C1-G3-T3-TP24-R1	C1-G3-T3-TP24	R1	507	452	457					72.0
C1-G3-T3-TP24-R2	C1-G3-T3-TP24	R2	401	357	351					72.0
C1-G3-T3-TP24-R3	C1-G3-T3-TP24	R3	387	334	337					72.0
C1-G3-T3-TP3-R1	C1-G3-T3-TP3	R1	140	85	90					51.0
C1-G3-T3-TP3-R2	C1-G3-T3-TP3	R2	108	64	58					51.0
C1-G3-T3-TP3-R3	C1-G3-T3-TP3	R3	80	27	30					51.0
C1-G3-T3-TP6-R1	C1-G3-T3-TP6	R1	451	396	401					54.0
C1-G3-T3-TP6-R2	C1-G3-T3-TP6	R2	374	330	324					54.0
C1-G3-T3-TP6-R3	C1-G3-T3-TP6	R3	319	266	269					54.0
C1-G3-T4-TP0-R1	C1-G3-T4-TP0	R1	54	0	4					48.1
C1-G3-T4-TP0-R2	C1-G3-T4-TP0	R2	49	0	-1					48.1
C1-G3-T4-TP0-R3	C1-G3-T4-TP0	R3	50	0	0					48.1
C1-G3-T4-TP12-R1	C1-G3-T4-TP12	R1	530	476	480					60.0
C1-G3-T4-TP12-R2	C1-G3-T4-TP12	R2	440	391	390					60.0
C1-G3-T4-TP12-R3	C1-G3-T4-TP12	R3	523	473	473					60.0
C1-G3-T4-TP24-R1	C1-G3-T4-TP24	R1	489	435	439					72.0
C1-G3-T4-TP24-R2	C1-G3-T4-TP24	R2	393	344	343					72.0
C1-G3-T4-TP24-R3	C1-G3-T4-TP24	R3	508	458	458					72.0
C1-G3-T4-TP3-R1	C1-G3-T4-TP3	R1	143	89	93					51.0
C1-G3-T4-TP3-R2	C1-G3-T4-TP3	R2	125	76	75					51.0
C1-G3-T4-TP3-R3	C1-G3-T4-TP3	R3	91	41	41					51.0
C1-G3-T4-TP6-R1	C1-G3-T4-TP6	R1	418	364	368					54.0
C1-G3-T4-TP6-R2	C1-G3-T4-TP6	R2	375	326	325					54.0
C1-G3-T4-TP6-R3	C1-G3-T4-TP6	R3	395	345	345					54.0
C2-G1-NA-TP0-R1	C2-G1-NA-TP0	R1	51	0	1					0.0
C2-G1-NA-TP0-R2	C2-G1-NA-TP0	R2	58	0	8					0.0
C2-G1-NA-TP0-R3	C2-G1-NA-TP0	R3	51	0	1					0.0
C2-G1-NA-TP12-R1	C2-G1-NA-TP12	R1	488	437	438					12.0
C2-G1-NA-TP12-R2	C2-G1-NA-TP12	R2	417	359	367					12.0
C2-G1-NA-TP12-R3	C2-G1-NA-TP12	R3	403	352	353					12.0
C2-G1-NA-TP24-R1	C2-G1-NA-TP24	R1	511	460	461					24.0
C2-G1-NA-TP24-R2	C2-G1-NA-TP24	R2	380	322	330					24.0
C2-G1-NA-TP24-R3	C2-G1-NA-TP24	R3	376	325	326					24.0
C2-G1-NA-TP3-R1	C2-G1-NA-TP3	R1	163	112	113					3.0
C2-G1-NA-TP3-R2	C2-G1-NA-TP3	R2	231	173	181					3.0
C2-G1-NA-TP3-R3	C2-G1-NA-TP3	R3	170	119	120					3.0
C2-G1-NA-TP6-R1	C2-G1-NA-TP6	R1	434	383	384					6.0
C2-G1-NA-TP6-R2	C2-G1-NA-TP6	R2	430	372	380					6.0
C2-G1-NA-TP6-R3	C2-G1-NA-TP6	R3	376	325	326					6.0
C2-G2-T1-TP0-R1	C2-G2-T1-TP0	R1	53	0	3	96	1.00	0.00		24.1
C2-G2-T1-TP0-R2	C2-G2-T1-TP0	R2	46	0	-4	75	-8.70	0.00		24.1
C2-G2-T1-TP0-R3	C2-G2-T1-TP0	R3	56	0	6	90	-1.77	0.00		24.1
C2-G2-T1-TP12-R1	C2-G2-T1-TP12	R1	471	418	421	89	-2.23	0.00		36.0
C2-G2-T1-TP12-R2	C2-G2-T1-TP12	R2	416	370	366	83	-5.00	0.00		36.0
C2-G2-T1-TP12-R3	C2-G2-T1-TP12	R3	351	295	301	78	-7.31	0.00		36.0
C2-G2-T1-TP24-R1	C2-G2-T1-TP24	R1	504	451	454	91	-1.31	0.00		48.0
C2-G2-T1-TP24-R2	C2-G2-T1-TP24	R2	394	348	344	96	1.00	0.00		48.0
C2-G2-T1-TP24-R3	C2-G2-T1-TP24	R3	331	275	281	80	-6.39	0.00		48.0
