	OD_600_mean	OD_600_sd	OD_600_se	Dox_mean	Dox_sd	Dox_se	Time_mean
C1-G1-NA-TP0	0	0	0	NA	NA	NA	0
C1-G1-NA-TP12	433.333333333333	32.0052079095471	18.4782154020469	NA	NA	NA	12
C1-G1-NA-TP24	401.333333333333	60.6822324353128	35.0349032315553	NA	NA	NA	24
C1-G1-NA-TP3	128.666666666667	26.8576494379782	15.5062711328173	NA	NA	NA	3
C1-G1-NA-TP6	376.666666666667	7.37111479583199	4.25571511160124	NA	NA	NA	6
C1-G2-T1-TP0	0	0	0	0	0	0	24.1
C1-G2-T1-TP12	415	56.6303805390711	32.6955654485436	0	0	0	36
C1-G2-T1-TP24	401.666666666667	73.111786555475	42.211109648738	0	0	0	48
C1-G2-T1-TP3	43.6666666666667	21.5715862498179	12.4543611281796	0	0	0	27
C1-G2-T1-TP6	323	17.5214154679352	10.1159939369957	0	0	0	30
C1-G2-T2-TP0	0	0	0	13.09	7.07050917544133	4.08216037574877	24.1
C1-G2-T2-TP12	416	55.5067563455117	32.0468407179241	6.62	3.40586259264815	1.96637568468829	36
C1-G2-T2-TP24	390	66.5657569625705	38.4317577011513	4.62333333333333	3.78053347205567	2.18269201777173	48
C1-G2-T2-TP3	46.3333333333333	29.2631736715848	16.8951011966323	8.46666666666667	2.18516208399591	1.261603917418	27
C1-G2-T2-TP6	327	18.3575597506858	10.5987420637231	6.46666666666667	6.46500064449597	3.73256986241085	30
C1-G2-T3-TP0	0	0	0	106.396666666667	11.9165696965752	6.8800347221346	24.1
C1-G2-T3-TP12	389	167.089796217483	96.4693388250035	7.23666666666667	5.95899600044616	3.44042794495749	36
C1-G2-T3-TP24	415.333333333333	71.5984171147193	41.3373653947343	13.7033333333333	3.07384666717996	1.77468620074398	48
C1-G2-T3-TP3	44.3333333333333	27.0061721340388	15.5920207513687	107.473333333333	2.3258833447388	1.34284937518861	27
C1-G2-T3-TP6	337	51.9711458407451	30.0055550412475	18.63	5.1082971722483	2.94927674749816	30
C1-G2-T4-TP0	0	0	0	232.19	21.3172911037026	12.3075437571163	24.1
C1-G2-T4-TP12	416.333333333333	86.7256209740428	50.0710606150011	8.46666666666667	1.06809799800081	0.616666666666667	36
C1-G2-T4-TP24	437.333333333333	81.1192537769754	46.8342230045983	14.7833333333333	6.00307698878944	3.46587811544363	48
C1-G2-T4-TP3	28.6666666666667	16.1967074843418	9.35117342607036	262.213333333333	6.57192767255798	3.7943042108461	27
C1-G2-T4-TP6	337.666666666667	83.7874294469841	48.374694945923	19.5533333333333	16.9359272947581	9.77796218260453	30
C1-G3-T1-TP0	0	0	0	NA	NA	NA	48.1
