	Sample_ID	OD_600_mean	OD_600_sd	OD_600_se	Dox_mean	Dox_sd	Dox_se	Time	Com	Gen	Trt	TP
1	C1-G1-NA-TP0	0	0	0	NA	NA	NA	0	C1	G1	T1	0
2	C2-G1-NA-TP0	0	0	0	NA	NA	NA	0	C2	G1	T1	0
3	C3-G1-NA-TP0	0	0	0	NA	NA	NA	0	C3	G1	T1	0
4	C4-G1-NA-TP0	0	0	0	NA	NA	NA	0	C4	G1	T1	0
5	C5-G1-NA-TP0	0	0	0	NA	NA	NA	0	C5	G1	T1	0
6	C1-G1-NA-TP3	128.6666667	26.85764944	15.50627113	NA	NA	NA	3	C1	G1	T1	3
7	C2-G1-NA-TP3	134.6666667	33.38163168	19.27289403	NA	NA	NA	3	C2	G1	T1	3
8	C3-G1-NA-TP3	112.6666667	16.2583312	9.386751894	NA	NA	NA	3	C3	G1	T1	3
9	C4-G1-NA-TP3	72	39.84971769	23.00724524	NA	NA	NA	3	C4	G1	T1	3
10	C5-G1-NA-TP3	13.33333333	12.85820101	7.423685817	NA	NA	NA	3	C5	G1	T1	3
11	C1-G1-NA-TP6	376.6666667	7.371114796	4.255715112	NA	NA	NA	6	C1	G1	T1	6
12	C2-G1-NA-TP6	360	30.8058436	17.7857621	NA	NA	NA	6	C2	G1	T1	6
13	C3-G1-NA-TP6	340.3333333	11.93035345	6.887992773	NA	NA	NA	6	C3	G1	T1	6
14	C4-G1-NA-TP6	341	80.66597796	46.57252409	NA	NA	NA	6	C4	G1	T1	6
15	C5-G1-NA-TP6	147.3333333	167.5271122	96.72182334	NA	NA	NA	6	C5	G1	T1	6
16	C1-G1-NA-TP12	433.3333333	32.00520791	18.4782154	NA	NA	NA	12	C1	G1	T1	12
17	C2-G1-NA-TP12	382.6666667	47.18403685	27.24171638	NA	NA	NA	12	C2	G1	T1	12
18	C3-G1-NA-TP12	409.3333333	80.6494472	46.56298005	NA	NA	NA	12	C3	G1	T1	12
19	C4-G1-NA-TP12	418	55.42562584	32	NA	NA	NA	12	C4	G1	T1	12
20	C5-G1-NA-TP12	394.6666667	80.83522335	46.67023796	NA	NA	NA	12	C5	G1	T1	12
21	C1-G1-NA-TP24	401.3333333	60.68223244	35.03490323	NA	NA	NA	24	C1	G1	T1	24
22	C2-G1-NA-TP24	369	78.8225856	45.50824101	NA	NA	NA	24	C2	G1	T1	24
23	C3-G1-NA-TP24	375.6666667	80.9279515	46.72377458	NA	NA	NA	24	C3	G1	T1	24
24	C4-G1-NA-TP24	387.6666667	30.73000705	17.74197784	NA	NA	NA	24	C4	G1	T1	24
25	C5-G1-NA-TP24	284.6666667	40.6980753	23.49704473	NA	NA	NA	24	C5	G1	T1	24
26	C1-G2-T1-TP0	NA	NA	NA	NA	NA	NA	24.05	C1	G2	T1	0
27	C1-G2-T2-TP0	NA	NA	NA	NA	NA	NA	24.05	C1	G2	T2	0
28	C1-G2-T3-TP0	NA	NA	NA	NA	NA	NA	24.05	C1	G2	T3	0
29	C1-G2-T4-TP0	NA	NA	NA	NA	NA	NA	24.05	C1	G2	T4	0
30	C2-G2-T1-TP0	NA	NA	NA	NA	NA	NA	24.05	C2	G2	T1	0
31	C2-G2-T2-TP0	NA	NA	NA	NA	NA	NA	24.05	C2	G2	T2	0
32	C2-G2-T3-TP0	NA	NA	NA	NA	NA	NA	24.05	C2	G2	T3	0
33	C2-G2-T4-TP0	NA	NA	NA	NA	NA	NA	24.05	C2	G2	T4	0
34	C3-G2-T1-TP0	NA	NA	NA	NA	NA	NA	24.05	C3	G2	T1	0
35	C3-G2-T2-TP0	NA	NA	NA	NA	NA	NA	24.05	C3	G2	T2	0
36	C3-G2-T3-TP0	NA	NA	NA	NA	NA	NA	24.05	C3	G2	T3	0
37	C3-G2-T4-TP0	NA	NA	NA	NA	NA	NA	24.05	C3	G2	T4	0
38	C4-G2-T1-TP0	NA	NA	NA	NA	NA	NA	24.05	C4	G2	T1	0
