No	Strain	Media	Rep	CFU_ml	Log_CFU_ml	Avg	SE
1	C_innocuum	GAM	1	457600	5.660486016	5.95123323	0.339168391
2	C_innocuum	GAM	2	4240000	6.627365857		
3	C_innocuum	GAM	3	368000	5.565847819		
4	E_coli	GAM	1	1136000	6.055378331	5.685579383	0.229310837
5	E_coli	GAM	2	544000	5.7355989		
6	E_coli	GAM	3	184400	5.265760917		
7	E_faecalis	GAM	1	310000	5.491361694	5.396519902	0.46295794
8	E_faecalis	GAM	2	1402000	6.146748014		
9	E_faecalis	GAM	3	35600	4.551449998		
10	K_pneumoniae	GAM	1	568000	5.754348336	5.940517715	0.126451212
11	K_pneumoniae	GAM	2	1520000	6.181843588		
12	K_pneumoniae	GAM	3	768000	5.88536122		
13	Lactobacillus	GAM	1	309600	5.490800952	5.284065444	0.202784737
14	Lactobacillus	GAM	2	75600	4.878521796		
15	Lactobacillus	GAM	3	304000	5.482873584		
16	E_coli	TSA	1	1136000	6.055378331	5.723502231	0.193264136
17	E_coli	TSA	2	536000	5.72916479		
18	E_coli	TSA	3	243200	5.385963571		
19	E_faecalis	TSA	1	288000	5.459392488	5.345363141	0.529909418
20	E_faecalis	TSA	2	1588000	6.200850498		
21	E_faecalis	TSA	3	23760	4.375846436		
22	K_pneumoniae	TSA	1	720000	5.857332496	5.917050646	0.085098526
23	K_pneumoniae	TSA	2	1216000	6.084933575		
24	K_pneumoniae	TSA	3	644000	5.808885867		
25	Lactobacillus	TSA	1	279600	5.446537167	5.289232893	0.409931445
26	Lactobacillus	TSA	2	32640	4.51375015		
27	Lactobacillus	TSA	3	808000	5.907411361		
